名称	一年涨幅(%)	三年涨幅(%)	规模(亿元)	限额(元)	买入费率(%)	运作费率(年，%)	零成本持有天数
国泰标普500ETF发起联接(QDII)A	11.14%	--	0.91亿元（2025-06-30）	10000	0.1	0.75	7
天弘标普500(QDII-FOF)A	12.75%	65.96%	23.27亿元（2025-06-30）	100	0.1	0.8	365
华夏标普500ETF联接(QDII)A	12.61%	--	2.44亿元（2025-06-30）	100	0.12	0.75	7
摩根标普500指数(QDII)A	13.28%	--	14.36亿元（2025-06-30）	100	0.12	0.65	730
大成标普500等权重指数(QDII)A	4.99%	40.05%	8.30亿元（2025-06-30）	300	0.15	1.2	730
