名称	一年涨幅(%)	三年涨幅(%)	规模(亿元)	限额(元)	买入费率(%)	运作费率(年，%)	零成本持有天数
华宝纳斯达克精选股票(QDII)A	37.62%	--	26.94亿元（2025-06-30）	1000	0.15	1.4	180
广发纳斯达克100ETF联接(QDII)A	20.57%	110.67%	93.14亿元（2025-06-30）	300	0.13	1.0	7
天弘纳斯达克100指数(QDII)A	22.33%	--	16.54亿元（2025-06-30）	100	0.1	0.6	365
博时纳斯达克100ETF联接(QDII)A	21.82%	104.20%	9.23亿元（2025-06-30）	0	0.1	0.65	7
嘉实纳斯达克100ETF联接(QDII)A	20.32%	99.04%	13.38亿元（2025-06-30）	5000	0.1	0.6	30
南方纳斯达克100指数(QDII)A	20.84%	--	11.18亿元（2025-06-30）	10000	0.12	0.65	7
摩根纳斯达克100指数(QDII)A	21.96%	--	5.63亿元（2025-06-30）	500	0.12	0.6	7
